Cube Number,Solve Time (ms),Number of Moves
0,0.5056,180
1,0.8263,212
2,0.5269,250
3,0.7111,246
4,0.4879,184
5,0.7536,182
6,0.7725,166
7,0.8279,338
8,1.0882,386
9,0.3477,194
10,0.9822,370
11,1.0809,342
12,1.2444,264
13,0.6678,206
14,0.645,376
15,0.6857,266
16,0.7694,226
17,0.4693,200
18,1.5473,196
19,1.2831,470
20,0.7236,220
21,1.1186,252
22,0.573,180
23,1.2002,404
24,0.996,314
25,0.3994,156
26,1.2122,374
27,1.221,310
28,0.4107,234
29,0.9711,298
30,1.0381,234
31,1.9577,296
32,0.8046,222
33,0.9478,214
34,0.869,250
35,0.7502,416
36,0.8126,274
37,0.6881,182
38,0.6547,154
39,0.6705,340
40,1.326,424
41,0.6807,208
42,1.218,192
43,0.498,218
44,0.6946,202
45,0.3661,140
46,1.1035,180
47,0.9336,288
48,0.8629,224
49,0.665,220
50,1.0289,330
51,0.6628,222
52,1.7309,448
53,0.9582,334
54,0.4248,260
55,1.4274,424
56,0.9325,186
57,0.3226,132
58,0.8402,248
59,1.2064,212
60,2.1647,182
61,0.4687,264
62,0.6045,182
63,0.5339,202
64,1.3043,344
65,1.968,434
66,1.1474,318
67,1.2255,208
68,1.0315,204
69,0.4039,164
70,1.7934,408
71,0.7136,192
72,0.9376,278
73,0.4244,190
74,0.8268,300
75,0.8409,206
76,1.0452,246
77,0.5564,232
78,0.7988,232
79,1.4051,458
80,0.6135,274
81,0.3889,228
82,0.5999,202
83,0.8274,232
84,0.8148,224
85,0.7898,210
86,0.5805,362
87,0.4107,240
88,0.7192,218
89,1.7078,316
90,0.9162,248
91,0.5129,134
92,1.0363,412
93,0.9448,216
94,0.7056,216
95,0.6056,178
96,0.4135,248
97,0.7509,168
98,0.3936,236
99,0.6728,226
100,0.3233,184
101,1.2999,410
102,1.0878,262
103,0.604,176
104,0.9033,184
105,1.1553,356
106,0.265,156
107,1.0998,374
108,0.542,190
109,0.6084,210
110,1.243,222
111,3.7479,218
112,0.5721,186
113,0.689,214
114,0.7378,268
115,0.5516,186
116,1.2208,300
117,0.6712,218
118,1.3546,274
119,1.2365,234
120,0.8237,212
121,1.1203,224
122,1.6227,244
123,1.0425,208
124,1.2482,236
125,1.9363,460
126,1.1181,252
127,0.9766,212
128,0.7628,232
129,2.0241,510
130,0.5762,194
131,0.6797,302
132,3.9419,506
133,0.3827,126
134,0.7739,246
135,0.6437,264
136,0.7419,348
137,0.3216,176
138,0.6534,216
139,0.9833,236
140,1.3367,306
141,0.7273,244
142,1.1245,180
143,0.8701,210
144,0.5066,174
145,0.8239,254
146,0.5513,198
147,1.5572,484
148,1.512,478
149,1.1512,198
150,0.8843,180
151,0.7349,196
152,0.9308,360
153,0.6561,210
154,1.0664,420
155,1.0463,192
156,1.1534,452
157,0.8609,174
158,1.6974,360
159,1.589,474
160,0.5056,150
161,1.6039,202
162,2.5546,476
163,2.3344,454
164,1.0137,214
165,2.9569,344
166,0.8981,380
167,0.6263,172
168,0.633,410
169,0.563,174
170,0.8579,188
171,0.4919,206
172,1.5447,404
173,1.0757,396
174,0.8521,464
175,1.6084,378
176,0.7562,246
177,0.8787,210
178,0.57,190
179,1.0336,212
180,2.8155,332
181,2.9156,268
182,0.7768,226
183,1.6558,434
184,1.4198,454
185,1.7785,300
186,1.1401,448
187,0.7217,244
188,0.7673,164
189,0.6105,198
190,0.8456,192
191,0.9495,190
192,1.1841,244
193,1.7743,460
194,2.9674,462
195,0.8224,236
196,1.0902,204
197,0.4348,230
198,3.518,190
199,0.7457,296
200,1.3227,214
201,1.6508,436
202,1.2078,478
203,1.042,496
204,0.3845,216
205,0.4442,180
206,1.4804,480
207,0.619,202
208,1.2248,220
209,0.2961,170
210,0.3633,178
211,0.3395,210
212,0.6908,224
213,0.6059,236
214,0.8065,288
215,0.2685,152
216,0.5916,272
