Cube Number,Solve Time (ms),Number of Moves
0,0.7497,216
1,2.102,204
2,1.6105,236
3,2.3319,258
4,1.7124,278
5,3.1291,498
6,1.4329,264
7,0.7632,200
8,1.4346,218
9,1.532,238
10,0.9706,450
11,1.9166,236
12,0.6588,180
13,2.5559,376
14,2.4527,432
15,1.1255,214
16,1.2793,210
17,2.0929,352
18,1.6002,228
19,1.6731,248
20,1.7199,186
21,1.3795,238
22,2.3273,206
23,2.0797,354
24,1.4744,246
25,1.7297,442
26,0.579,216
27,0.6687,192
28,0.5609,240
29,0.6064,380
30,0.544,298
31,0.4188,242
32,0.5582,350
33,0.4897,248
34,0.5688,318
35,0.3452,204
36,0.4213,212
37,0.4954,228
38,0.5538,220
39,0.3147,182
40,0.4579,268
41,0.6806,318
42,0.416,266
43,0.7826,374
44,0.4374,158
45,0.5794,374
46,0.8015,516
47,0.7127,476
48,0.3609,214
49,0.7231,210
50,0.4033,182
51,0.4717,172
52,0.4415,256
53,0.4269,186
54,0.5186,326
55,0.3883,224
56,0.476,238
57,1.1282,492
58,0.5611,224
59,0.5407,242
60,0.3415,196
61,0.3127,182
62,1.0226,434
63,0.357,206
64,0.6328,372
65,0.4401,266
66,0.3719,230
67,0.2403,130
68,0.73,240
69,0.3782,156
70,1.257,434
71,0.4014,198
72,0.46,270
73,0.2969,158
74,0.3215,186
75,0.3281,190
76,0.6774,218
77,0.5083,216
78,0.3909,226
79,0.3567,174
80,0.6362,424
81,0.5539,228
82,0.4954,270
83,0.4282,254
84,0.9546,348
85,0.6787,442
86,0.4985,226
87,0.4892,206
88,0.4725,216
89,0.6037,402
90,0.9913,428
91,0.2994,180
92,0.7323,300
93,0.3881,224
94,1.306,286
95,1.8544,466
96,0.701,246
97,1.6486,416
98,0.814,206
99,1.0562,276
100,1.2293,416
101,1.5527,272
102,1.5303,284
103,0.5426,176
104,0.8156,186
105,0.3252,190
106,0.6564,206
107,0.8509,406
108,0.6121,196
109,0.9097,264
110,0.5035,330
111,0.9184,220
112,0.3792,226
113,0.6456,164
114,0.7657,282
115,0.7145,186
116,0.9447,244
117,1.2898,288
