Cube Number,Solve Time (ms),Number of Moves
0,0.7402,232
1,0.591,226
2,3.9154,540
3,1.7217,352
4,4.2296,614
5,1.6008,376
6,1.1945,348
7,3.4465,286
8,7.725,622
9,4.3837,402
10,2.0423,380
11,3.1419,888
12,11.5618,982
13,2.3793,536
14,4.3846,572
15,7.8354,736
16,3.5545,658
17,1.6548,330
18,2.1621,426
19,1.8239,342
20,7.2131,1160
21,3.6409,598
22,7.4518,792
23,1.7779,440
24,1.5178,544
25,4.7856,442
26,7.4999,580
27,2.7832,458
28,2.1606,432
29,2.044,302
30,3.7043,650
31,2.8197,442
32,8.1679,648
33,6.1539,1034
34,2.2364,436
35,4.8702,1090
36,9.5875,826
37,4.4943,854
38,4.3114,696
39,4.7523,742
40,2.216,358
41,1.6286,346
42,4.9736,448
43,1.5036,252
44,7.2396,1032
45,0.806,256
46,2.6966,460
47,4.9494,788
48,3.1881,458
49,1.6461,336
50,2.0994,392
51,3.8643,552
52,2.366,430
53,3.7626,610
54,3.1675,404
55,8.8465,764
56,3.1242,326
57,7.3816,816
58,5.8461,1026
59,2.5635,374
60,5.4905,538
61,3.9353,398
62,1.9308,406
63,5.0408,360
64,5.9599,552
65,3.2629,502
66,4.0288,650
67,3.1387,658
68,7.1653,698
69,1.9167,332
70,3.1076,396
71,3.6,616
72,1.0712,410
73,3.118,258
74,2.7548,448
75,2.9281,518
76,3.8071,340
77,1.5401,364
78,9.0234,846
79,5.7929,464
80,4.7882,784
81,2.3862,472
82,1.9516,450
83,6.5715,474
84,2.6441,316
85,2.6122,558
86,3.6686,376
87,4.9052,522
88,3.8543,454
89,7.3737,710
90,4.937,424
91,2.319,528
92,5.5013,930
93,3.899,930
94,4.2039,502
95,4.8669,482
96,3.4969,496
97,3.3759,544
98,2.4773,382
99,1.9685,432
100,6.4155,932
101,3.7693,484
102,4.3635,644
103,3.3885,628
104,4.5783,670
105,3.6724,662
106,3.2421,488
107,1.1099,254
108,3.7759,582
109,4.4643,618
110,5.3773,622
111,2.782,362
112,2.9968,606
113,2.6665,690
114,1.1981,268
115,1.5815,306
116,4.5205,696
117,3.7035,452
118,3.2599,586
119,2.6241,406
120,0.9791,220
121,4.0601,512
122,3.9116,488
123,2.5433,488
124,1.5634,314
125,3.0439,654
126,2.7927,490
127,2.7371,406
128,4.9769,722
129,2.9518,476
130,4.3189,764
131,2.1952,574
132,3.0567,540
133,2.0492,504
134,7.1115,968
135,1.8594,460
136,9.075,1104
137,1.9666,322
138,4.1964,888
139,4.9585,720
140,2.9672,596
141,4.0718,564
142,3.3974,388
143,2.5706,330
144,3.8335,508
145,2.8633,394
146,2.6014,390
147,3.6199,366
148,5.6111,886
149,2.1834,392
150,4.618,562
151,2.3928,358
152,3.9382,586
153,2.3846,450
154,1.3379,250
155,2.1412,252
156,4.1772,640
157,3.5206,514
158,6.5824,848
159,2.3653,392
160,5.0473,648
161,3.5671,438
162,4.0168,734
163,6.9793,880
164,1.8316,316
165,1.7678,318
166,4.3829,690
167,2.3289,428
168,1.7985,516
169,1.0158,236
170,1.9493,430
171,8.2444,908
172,6.7197,798
173,4.976,942
174,1.6849,386
175,2.1746,372
176,3.1663,758
177,6.0518,694
178,6.149,792
179,3.3011,442
180,8.6997,852
181,4.5039,602
182,4.691,676
183,4.5608,620
184,9.5905,1140
185,6.0672,690
186,4.4041,368
187,2.5277,374
188,3.9916,734
189,2.2325,434
190,4.7151,838
191,6.2998,804
192,4.6427,746
193,1.6716,516
194,3.8209,580
195,2.7909,326
196,1.3955,236
197,2.8793,402
198,3.1737,604
199,7.6856,788
200,2.7473,510
201,3.9481,374
202,2.0642,296
203,3.187,560
204,3.5248,558
205,1.7646,380
206,1.1489,188
207,2.6817,660
208,4.8024,668
209,4.0822,896
210,4.4312,616
211,2.3231,346
212,1.2725,364
213,6.4715,774
214,1.8931,336
215,0.9422,442
216,1.6921,436
217,1.7127,428
218,1.3542,494
219,1.3364,466
220,1.3109,540
221,1.6068,536
222,2.2914,726
223,1.6278,626
224,1.3291,452
225,1.6347,614
226,1.197,392
227,1.3257,426
228,0.5455,218
229,1.713,614
230,1.9115,692
231,1.9306,694
232,2.5341,788
233,1.9387,500
234,1.7794,578
235,1.1418,412
236,1.5557,564
237,0.9394,342
238,1.1441,426
239,1.5825,478
240,1.2317,454
241,1.2374,420
242,1.5715,512
243,1.6781,594
244,1.7837,616
245,2.1416,746
246,4.6731,1254
247,3.0116,886
248,1.7444,636
249,0.9475,350
250,1.7469,640
251,1.4083,494
252,1.5572,540
253,1.1518,428
254,0.9988,328
255,0.7387,264
256,0.6258,286
257,2.5608,824
258,0.8313,328
259,2.2489,778
260,2.1065,560
261,1.6611,598
262,1.3946,540
263,1.0222,364
264,0.9148,332
265,2.5528,930
266,1.6125,488
267,2.5512,770
268,3.5704,1188
269,1.3415,478
270,1.6465,566
271,0.9411,338
272,1.0348,404
273,1.2201,434
274,1.0846,364
275,1.4047,430
276,0.9342,362
277,1.0593,424
278,1.3457,474
279,1.269,526
280,1.7853,616
281,1.193,396
282,0.6557,268
283,1.7621,602
284,0.9629,380
285,0.9817,372
286,0.8309,266
287,1.2537,418
288,1.5225,572
289,1.0427,360
290,1.8736,552
291,1.1207,362
292,0.7258,300
293,1.5639,566
294,1.5484,546
295,1.0301,418
296,1.0796,416
297,0.7595,330
298,1.2448,518
299,5.1706,1594
300,1.4768,558
301,2.9575,824
302,1.01,324
303,1.59,496
304,0.8302,384
305,2.2357,634
306,1.4952,502
307,2.5219,846
308,2.0359,682
309,1.1511,428
310,2.8243,880
311,2.2307,834
312,1.7279,508
313,0.8191,332
314,2.5016,770
315,1.2051,480
316,1.1528,390
317,1.1757,402
318,0.7014,312
