Cube Number,Solve Time (ms),Number of Moves
0,5.6599,668
1,4.1167,316
2,5.7286,577
3,4.0714,400
4,3.567,228
5,3.0809,349
6,5.8581,560
7,3.2004,342
8,3.297,348
9,10.722,867
10,7.7643,510
11,1.9874,310
12,3.2261,264
13,6.8448,515
14,6.979,629
15,3.6069,420
16,2.9691,690
17,3.6535,341
18,5.7029,404
19,7.546,620
20,6.1024,644
21,7.8728,447
22,2.2605,214
23,3.7757,553
24,9.9852,680
25,5.9171,760
26,3.9571,304
27,4.0484,533
28,6.1446,522
29,3.499,501
30,1.8467,286
31,3.7835,203
32,4.1087,375
33,2.8196,370
34,6.9475,539
35,8.7616,828
36,5.0635,609
37,5.7823,492
38,3.9596,517
39,3.6109,349
40,8.2012,572
41,4.8686,364
42,3.6063,311
43,5.1001,440
44,5.0408,478
45,3.1051,308
46,8.7854,819
47,2.9272,300
48,5.4157,470
49,5.1903,411
50,3.6988,515
51,6.4239,514
52,4.8063,543
53,3.8826,408
54,14.4755,815
55,4.2688,434
56,6.4803,627
57,6.7389,593
58,5.4604,476
59,5.4191,510
60,4.5734,285
61,5.3191,449
62,4.8901,410
63,2.9654,203
64,4.3698,389
65,4.0243,387
66,4.8777,424
67,2.149,344
68,4.5517,383
69,5.4567,503
70,1.317,265
71,7.1189,543
72,3.4731,337
73,6.0573,523
74,5.9185,489
75,2.4546,420
76,2.6647,246
77,3.5743,337
78,3.0847,517
79,5.2424,333
80,6.4276,516
81,3.5098,309
82,3.1446,351
83,3.2281,578
84,8.3259,535
85,5.6454,542
86,3.069,264
87,3.0603,331
88,2.7935,287
89,1.6128,224
90,7.4787,503
91,3.1417,288
92,4.8481,518
93,4.9387,378
94,5.0655,526
95,10.17,592
96,1.6369,161
97,3.0561,318
98,3.8056,407
99,3.2382,321
100,5.9281,431
101,3.9792,470
102,2.9515,318
103,3.5298,507
104,8.227,586
105,1.9963,276
106,7.6115,778
107,2.2564,214
108,3.1641,329
109,3.294,390
110,9.4765,872
111,3.9767,327
112,2.2304,204
113,4.9536,351
114,4.0389,455
115,4.969,416
116,3.8812,355
117,8.6798,738
118,7.5094,681
119,13.3245,771
120,4.2865,357
121,2.461,314
122,5.6194,551
123,5.3991,433
124,5.7832,593
125,4.8175,478
126,4.3834,241
127,1.7104,224
128,6.3935,498
129,3.4736,357
130,3.5407,373
131,5.142,546
132,5.5042,489
133,3.8149,415
134,4.7675,427
135,4.4058,385
136,4.2448,442
137,1.7527,519
138,6.0163,549
