Cube Number,Solve Time (ms),Number of Moves
0,0.6031,254
1,1.3918,466
2,0.4068,164
3,0.4307,190
4,0.671,254
5,0.5339,224
6,0.6283,336
7,1.0067,470
8,0.3217,130
9,0.5724,160
10,1.398,428
11,0.4563,252
12,0.8117,176
13,0.4545,214
14,0.4799,224
15,0.5989,214
16,0.6793,372
17,0.3402,164
18,0.5828,238
19,0.6419,148
20,0.4646,248
21,0.6411,296
22,0.6808,282
23,0.5974,194
24,0.5456,246
25,0.7278,312
26,0.3726,144
27,0.4023,218
28,0.439,184
29,1.4709,254
30,0.7181,226
31,0.4075,150
32,0.7625,196
33,0.625,300
34,0.376,190
35,0.725,426
36,0.6435,218
37,0.7565,322
38,0.3889,198
39,0.8999,246
40,0.5562,210
41,0.9107,434
42,0.6968,268
43,0.4418,180
44,0.5,248
45,0.6588,320
46,0.517,176
47,0.4921,230
48,0.5522,220
49,0.4128,166
50,0.378,202
51,0.581,218
52,0.7341,204
53,0.5968,326
54,0.6724,346
55,0.4196,202
56,0.7169,424
57,0.351,202
58,0.6245,242
59,0.4513,180
60,0.4638,188
61,0.5396,220
62,0.8689,432
63,0.4385,174
64,0.493,200
65,0.4556,190
66,0.5064,270
67,0.5503,290
68,0.4314,220
69,0.6691,410
70,0.559,192
71,1.2332,510
72,0.8286,346
73,0.7141,434
74,0.4573,162
75,0.5116,260
76,0.5376,228
77,1.0182,378
78,0.7045,288
79,0.4805,234
80,0.6671,224
81,0.6225,270
82,0.5255,308
83,0.6228,188
84,0.7015,278
85,0.6098,238
86,0.7267,290
87,0.831,392
88,0.4328,146
89,0.7059,230
90,0.92,324
91,1.2421,530
92,0.7184,456
93,0.4891,224
94,0.4643,298
95,0.6895,312
96,0.3243,188
97,0.3671,180
98,0.2726,160
99,0.3844,206
100,0.8589,418
101,0.519,230
102,0.437,226
103,0.5135,230
104,0.2568,150
105,0.3255,200
106,0.464,180
107,0.7302,368
108,0.7275,258
109,0.5137,220
110,0.4408,238
111,0.4666,204
112,0.7595,420
113,0.3404,194
114,0.4337,268
115,0.6783,226
116,0.963,430
117,0.5686,366
118,0.8525,442
119,0.4317,248
120,0.5345,224
121,0.7329,484
122,0.8707,400
123,0.5821,272
124,0.5399,284
125,0.2615,132
126,0.4443,186
127,0.4148,166
128,0.6628,418
129,0.5915,234
130,0.9607,452
131,0.4257,258
132,1.0097,486
133,0.3426,196
134,0.643,366
135,0.6302,352
136,0.5107,220
137,0.3428,206
138,0.5664,222
139,0.3591,220
140,0.5014,190
141,0.4086,168
142,0.4032,238
143,0.6145,384
144,0.4329,210
145,0.6136,264
146,0.7572,326
147,0.3952,218
148,0.5929,412
149,0.4952,212
150,0.4367,168
151,0.5909,264
152,0.7324,460
153,0.4914,208
154,0.3601,196
155,0.4749,216
156,0.6059,428
157,0.5066,250
158,0.5548,238
159,0.5351,240
160,0.4361,248
161,0.379,232
162,0.3642,218
163,0.4947,214
164,0.9052,412
165,0.8988,450
166,0.6078,246
167,0.5022,226
168,0.8902,452
169,0.5058,226
170,0.9966,470
171,0.4861,182
172,0.6693,300
173,0.3438,206
174,0.6473,326
175,0.607,270
176,0.6012,260
177,0.4101,208
178,0.4971,200
179,0.6213,260
180,0.6079,284
181,0.6634,294
182,0.9629,478
183,0.4947,206
184,0.3581,224
185,0.5674,218
186,0.5134,218
187,0.4759,198
188,0.5542,296
189,0.4504,214
190,0.5933,258
191,0.5454,248
192,0.5047,214
193,0.5611,216
194,0.3568,192
195,0.3157,162
196,0.3874,238
197,0.894,438
198,0.4999,300
199,0.4032,154
200,0.9176,438
201,0.6466,280
202,0.5269,206
203,0.8292,448
204,0.4831,214
205,0.4229,254
206,0.6015,308
207,0.4108,156
208,0.3571,206
209,0.2706,158
210,0.3999,228
211,0.366,228
212,0.3979,172
213,0.3505,204
214,0.3934,232
215,0.7161,470
216,0.5435,214
217,0.4434,182
218,0.4676,204
219,0.3929,228
220,0.5593,260
221,1.3107,500
