Cube Number,Solve Time (ms),Number of Moves
0,1.2862,297
1,0.7586,287
2,0.8222,287
3,1.1066,287
4,1.0056,287
5,0.7407,287
6,0.9001,287
7,0.8785,287
8,0.7779,297
9,1.7356,297
10,0.9127,297
11,0.9566,297
12,0.8065,297
13,1.1575,297
14,1.1649,297
15,0.9433,297
16,0.9379,283
17,0.8168,283
18,0.7296,283
19,0.9401,283
20,0.8593,283
21,1.1419,283
22,0.9083,283
23,0.7725,283
24,0.9954,283
25,0.6453,218
26,1.0656,218
27,0.7507,218
28,0.815,218
29,0.6825,218
30,0.7563,218
31,0.6376,218
32,0.8537,218
33,1.1548,170
34,0.6141,170
35,0.4871,170
36,0.4837,170
37,0.8067,170
38,0.6375,170
39,0.7032,170
40,0.7287,170
41,0.5867,170
42,0.8928,249
43,0.6861,249
44,0.7536,249
45,0.7985,249
46,0.7835,249
47,0.6755,249
48,0.632,249
49,0.9195,249
50,0.7056,216
51,0.7569,216
52,0.8517,216
53,0.7403,216
54,0.6433,216
55,0.7728,216
56,0.6779,216
57,0.6617,216
58,0.5731,216
59,0.7932,204
60,0.6258,204
61,0.6893,204
62,0.5703,204
63,0.6152,204
64,0.6199,204
65,0.7616,204
66,0.6164,204
67,0.6083,184
68,0.6593,184
69,0.6412,184
70,0.6394,184
71,0.5762,184
72,0.6941,184
73,0.6873,184
74,0.6723,184
75,1.1822,184
76,0.9753,298
77,0.8874,298
78,1.061,298
79,0.8115,298
80,1.0357,298
81,1.0939,298
82,1.0796,298
83,0.9046,298
84,0.8824,287
85,1.0467,287
86,1.0828,287
87,0.8278,287
88,1.0942,287
89,0.781,287
90,1.2023,287
91,1.2361,287
92,0.8075,287
93,0.7681,240
94,0.9589,240
95,0.785,240
96,0.7913,240
97,1.3063,240
98,0.613,240
99,0.6983,240
100,0.8551,240
101,1.0005,240
102,0.7693,240
103,0.7919,240
104,0.572,240
105,0.7939,240
106,0.5717,240
107,0.762,240
108,0.8084,240
109,0.715,240
110,0.5966,240
111,0.8259,240
112,1.0718,240
113,0.7449,240
114,0.8112,240
115,0.5649,240
116,0.8381,240
117,0.7755,240
118,1.6366,297
119,0.7308,297
120,0.945,297
121,0.6808,297
122,0.8142,297
123,0.9862,297
124,0.8546,297
125,0.676,297
126,0.9236,297
127,1.0324,297
128,0.8268,297
129,0.6932,297
130,1.003,297
131,2.2819,297
132,0.8383,297
133,1.264,297
134,1.2641,297
135,1.9189,297
136,1.2891,297
137,0.855,297
138,0.6854,297
139,0.818,297
140,0.9668,297
141,0.9156,297
142,0.8684,297
143,0.9747,297
144,1.1946,297
145,0.9755,297
146,0.756,297
147,0.5404,246
148,0.5626,246
149,1.3467,246
150,0.7355,246
151,0.5857,246
152,0.853,246
153,0.5606,246
154,0.5521,246
155,0.7755,246
156,0.9463,246
157,1.3289,246
158,0.712,246
159,0.5914,246
160,0.7847,246
161,0.7816,246
162,0.6938,246
163,1.3296,246
164,0.6918,246
165,0.694,246
166,2.5091,246
167,1.046,246
168,0.8908,246
169,0.6925,246
170,0.9075,246
171,0.7397,246
172,0.9386,246
173,0.7416,246
174,0.5468,246
175,0.5526,187
176,0.6562,187
177,0.7897,187
178,0.5897,187
179,0.5639,187
180,0.5788,187
181,0.5832,187
182,0.4376,187
183,0.4489,187
184,0.5954,187
185,0.4403,187
186,0.5177,187
187,0.6393,187
188,0.6446,187
189,0.6318,187
190,0.499,187
191,1.0272,187
192,0.5294,187
193,0.4386,187
194,0.6104,187
195,0.627,187
196,0.5571,187
197,0.4521,187
198,0.4364,187
199,1.2517,187
200,0.5707,187
201,0.5071,187
202,0.4365,187
203,0.4438,187
204,0.8537,218
205,0.5727,218
206,1.5411,218
207,0.6799,218
208,0.5236,218
209,0.6756,218
210,0.7506,218
211,0.5697,218
212,0.546,218
213,0.7089,218
214,0.8901,218
215,1.1997,218
216,0.7658,218
217,0.801,218
218,0.7907,218
219,0.741,218
220,0.7535,218
221,0.5357,218
222,0.783,218
223,0.8261,218
224,0.7902,218
225,0.9994,218
226,0.7392,218
227,0.5327,218
228,0.549,218
229,0.6556,218
230,0.5304,218
231,0.6403,218
232,1.2395,218
233,0.7534,292
234,0.9684,292
235,0.6327,292
236,0.891,292
237,0.8697,292
238,0.9532,292
239,0.8197,292
240,0.7724,292
241,0.8225,292
242,1.1344,292
243,0.9065,292
244,0.795,292
245,0.747,292
246,0.906,292
247,0.8177,292
248,0.9381,292
249,0.8523,292
250,1.4231,292
251,0.8697,292
252,0.7848,292
253,0.8687,292
254,0.9494,292
255,0.8716,292
256,0.9184,292
257,0.7856,292
258,0.8522,292
259,0.6461,292
260,0.965,292
261,0.7275,238
262,0.8619,238
263,0.8276,238
264,0.7841,238
265,0.5869,238
266,0.9996,238
267,0.5757,238
268,0.7166,238
269,0.6892,238
270,0.739,238
271,0.748,238
272,1.4335,238
273,0.8365,238
274,0.7357,238
275,0.62,238
276,0.888,238
277,0.7868,238
278,0.7384,238
279,0.7413,238
280,0.7911,238
281,0.6758,238
282,0.8817,238
283,0.8373,238
284,0.8197,238
285,0.7732,238
286,1.1049,238
287,0.67,238
288,0.9407,238
289,0.8541,238
290,0.7686,245
291,0.8956,245
292,1.7216,245
293,0.7672,245
294,0.7407,245
295,0.8387,245
296,0.5482,245
297,0.5426,245
298,0.8193,245
299,0.7349,245
300,0.6629,245
301,0.7382,245
302,0.9221,245
303,0.5873,245
304,0.5345,245
305,1.2914,245
306,0.917,245
307,0.6622,245
308,0.741,245
309,0.5801,245
310,0.528,245
311,0.7543,245
312,0.7798,245
313,0.5354,245
314,0.534,245
315,0.7245,245
316,0.7823,245
317,0.5349,245
318,0.8283,245
319,0.7596,264
320,0.7546,264
321,0.819,264
322,0.6087,264
323,0.7409,264
