Cube Number,Solve Time (ms),Number of Moves
0,1.1348,276
1,1.9342,442
2,1.375,410
3,0.9115,366
4,0.6859,268
5,0.8719,342
6,0.7992,254
7,1.0746,408
8,1.0672,332
9,2.0706,386
10,0.7512,288
11,0.6761,276
12,0.7192,264
13,0.9621,358
14,0.7834,312
15,0.7627,212
16,0.695,270
17,0.6537,260
18,1.2091,264
19,0.7383,270
20,1.2083,412
21,1.1318,270
22,0.8809,298
23,0.5717,204
24,1.0409,330
25,0.775,200
26,1.0904,376
27,0.9254,336
28,0.6899,266
29,1.6066,376
30,1.1723,342
31,0.8489,360
32,0.9575,298
33,0.7937,294
34,1.0815,272
35,1.1863,264
36,1.0884,334
37,0.815,278
38,0.5073,194
39,0.9571,306
40,1.3073,306
41,0.7652,332
42,1.1036,324
43,1.0137,264
44,0.6213,254
45,1.2636,376
46,0.594,238
47,0.8427,278
48,0.8809,310
49,1.5263,298
50,1.188,372
51,0.8301,348
52,0.7459,216
53,1.0679,346
54,0.6679,270
55,0.8743,250
56,1.1118,260
57,0.8721,360
58,0.7411,236
59,0.8642,360
60,0.8051,276
61,1.0097,380
62,2.9609,302
63,1.9177,344
64,1.704,340
65,1.5432,226
66,0.9021,340
67,2.4801,254
68,1.0642,316
69,2.6184,296
70,0.703,258
71,0.6388,260
72,1.4367,346
73,0.8434,338
74,0.7837,302
75,1.0013,358
76,0.8076,256
77,0.8387,266
78,0.6972,292
79,0.8079,276
80,1.7541,374
81,0.9333,394
82,0.8606,320
83,0.8848,264
84,0.8717,288
85,2.702,432
86,0.8066,340
87,1.3225,276
88,0.6561,272
89,0.7232,268
90,0.714,270
91,0.9363,338
92,1.0352,408
93,0.9052,326
94,1.1746,270
95,1.0733,286
96,1.8985,388
97,2.2045,358
98,3.3446,266
99,1.2051,262
100,3.5058,336
101,1.3069,246
102,0.9418,222
103,1.215,306
104,2.8242,436
105,0.7751,296
106,2.1083,380
107,3.1458,304
108,1.0955,286
109,2.4132,290
110,1.7747,282
111,1.769,378
112,1.3766,320
113,1.3274,320
114,1.8289,278
115,1.023,206
116,0.8655,364
117,1.1144,342
118,1.3793,260
119,1.8126,360
120,1.314,260
121,1.7134,334
122,2.0297,288
123,2.8456,174
124,1.7396,314
125,1.261,260
126,1.8264,392
127,5.0885,298
128,1.4828,248
129,1.4747,282
130,0.8941,286
131,1.8281,302
132,1.395,266
133,2.0233,302
134,1.4049,298
135,2.0287,394
136,1.5633,314
137,1.6728,340
138,0.9907,350
139,0.7246,300
140,1.0776,316
141,1.191,278
142,0.7086,266
143,1.2743,324
144,1.8512,238
145,1.5563,308
146,2.4789,308
147,1.3158,318
148,2.5488,336
149,1.4528,306
150,1.3767,296
151,2.196,294
152,1.2352,278
153,1.8851,296
154,1.6457,306
155,2.8681,324
156,1.3288,254
157,1.4756,268
158,1.1306,348
159,1.7706,358
160,1.4609,324
161,1.5127,316
162,1.1674,354
163,1.447,244
164,1.3658,292
165,1.3775,256
166,0.9125,292
167,1.3178,358
168,1.0127,194
169,0.9581,202
170,1.6915,384
171,2.7975,286
172,1.1959,212
173,2.5977,294
174,1.011,396
175,0.6986,282
176,2.6889,268
177,0.7411,300
178,0.918,204
179,1.2012,238
180,2.0753,262
181,0.9424,226
182,1.9355,326
183,1.3916,270
184,1.6326,334
185,1.6393,304
186,2.5294,318
187,2.0338,312
188,0.9405,288
189,2.2462,374
190,1.6808,322
191,1.5848,302
192,2.1637,456
193,1.7337,374
194,2.4636,324
195,1.2001,254
196,1.7152,282
197,3.7989,298
198,4.4499,352
199,3.5446,304
200,1.5259,228
201,2.1355,290
202,1.0649,226
203,1.7774,356
204,0.9505,262
205,0.8156,328
206,0.9317,302
207,3.0348,378
208,0.6805,272
209,1.1338,342
210,0.9251,318
211,2.0696,272
212,0.6778,250
213,1.06,234
214,0.8698,332
215,3.3637,298
216,1.1272,396
217,3.11,288
218,2.6249,434
219,1.3516,306
220,1.5338,448
221,0.8737,324
222,0.898,370
223,0.8384,342
224,0.8683,322
225,0.9112,282
226,0.6663,254
227,0.8346,338
228,1.0556,420
229,1.2593,374
230,0.8836,336
231,0.791,320
232,0.8063,250
233,0.5371,220
234,1.1318,344
235,1.0904,430
236,0.5167,218
237,1.0507,346
238,1.0306,342
239,0.7467,326
240,0.8964,330
241,0.8267,264
242,0.8643,284
243,0.8424,268
244,0.6708,256
245,0.6844,282
246,2.0524,308
247,0.7858,316
248,0.8771,328
249,0.7816,312
250,0.701,310
251,0.6928,290
252,0.695,268
253,1.0241,410
254,0.8196,278
255,0.7336,320
256,0.5807,234
257,0.8579,322
258,0.7088,228
259,0.8,274
260,1.0582,368
261,1.0816,456
262,0.9127,262
263,1.0256,320
264,0.7769,310
265,0.9088,308
266,0.8336,332
267,0.777,252
268,0.5979,230
269,1.2413,380
270,0.8051,322
271,0.652,264
272,0.7263,306
273,1.3381,442
274,0.8717,362
275,0.798,254
276,0.8502,348
277,0.823,326
278,0.6611,264
279,0.7266,300
280,0.7486,276
281,0.7215,284
282,0.8146,358
283,0.9797,346
284,0.6557,224
285,0.7553,314
286,1.1183,370
287,0.7116,288
288,0.7011,298
289,0.8872,364
290,0.63,260
291,1.1558,364
292,0.9185,336
293,0.8092,310
294,0.766,318
295,0.6351,256
296,0.8482,328
297,0.9738,326
298,1.0426,344
299,1.1209,346
300,1.0807,370
301,1.1357,374
302,1.0872,360
303,1.0112,392
304,0.7156,300
305,0.8153,350
306,0.6824,290
307,1.0264,352
308,0.6555,282
309,1.0636,434
310,0.9111,396
311,1.044,358
312,0.7759,290
313,0.6452,256
314,0.8594,354
315,0.9124,326
316,0.7912,322
317,0.4907,214
318,0.8954,382
319,0.8917,360
320,1.1368,354
321,0.7279,288
322,0.9088,352
323,0.8422,294
324,0.9203,364
325,0.8484,298
326,0.8452,346
327,0.9676,384
328,0.7998,288
329,0.7361,280
330,0.7349,306
331,0.6775,268
332,0.8038,298
333,0.5918,214
334,0.7349,296
335,0.9011,306
336,0.5919,242
337,0.9492,396
338,0.7498,244
339,0.7773,274
340,1.3738,400
341,0.7088,290
