Cube Number,Solve Time (ms),Number of Moves
0,0.5316,231
1,0.5165,279
2,0.9347,304
3,0.6747,256
4,0.3712,209
5,1.5746,304
6,0.5735,306
7,0.7386,313
8,0.5155,200
9,0.8935,258
10,1.0266,386
11,1.179,330
12,0.4009,232
13,0.749,335
14,0.4553,201
15,0.5428,202
16,0.8167,262
17,0.6739,281
18,0.8029,246
19,0.8201,348
20,0.5552,249
21,1.2754,289
22,0.6434,261
23,0.5065,213
24,0.766,308
25,0.8884,305
26,0.8129,337
27,0.5873,278
28,0.4881,265
29,0.5465,205
30,0.8321,277
31,1.463,252
32,0.9919,162
33,0.6997,285
34,0.3818,215
35,0.5754,273
36,0.4265,231
37,0.3817,219
38,0.7444,199
39,0.7584,169
40,0.6279,198
41,0.4547,242
42,0.5382,175
43,0.4149,169
44,0.5547,230
45,0.6254,257
46,1.3768,300
47,0.6718,323
48,0.3646,199
49,0.6068,254
50,0.4742,207
51,0.5286,248
52,0.5896,261
53,0.6626,311
54,0.5313,222
55,0.5506,287
56,0.501,288
57,0.5153,231
58,0.6871,215
59,0.5348,242
60,0.7379,236
61,0.5673,246
62,0.7184,254
63,0.4663,237
64,0.6187,320
65,0.3921,165
66,0.5816,292
67,0.5192,206
68,0.4651,255
69,1.0999,298
70,0.4027,223
71,0.3784,225
72,1.4389,378
73,0.4331,230
74,1.0842,233
75,0.3959,223
76,0.5157,233
77,0.6081,291
78,0.771,380
79,0.6269,275
80,0.8422,323
81,0.5683,207
82,0.6644,313
83,0.5221,275
84,0.5879,314
85,0.5304,263
86,1.1043,281
87,0.7753,206
88,0.3821,213
89,1.0882,345
90,0.5177,283
91,0.5125,271
92,0.4764,250
93,0.4526,147
94,2.0847,275
95,1.1585,321
96,2.3389,396
97,0.9113,274
98,1.0813,301
99,0.9803,276
100,0.7663,162
101,0.6578,220
102,1.0484,227
103,1.0376,319
104,1.2166,249
105,1.3178,252
106,1.9475,342
107,1.1437,315
108,1.3524,241
109,1.0076,256
110,1.0738,290
111,1.2671,260
112,1.4009,291
113,0.7535,260
114,0.7435,236
115,1.0172,278
116,1.049,267
117,0.8867,199
118,0.7882,344
119,1.7953,291
120,0.9013,275
121,1.0709,270
122,0.446,186
123,1.3607,249
124,0.6861,236
125,2.0277,398
126,1.3097,271
127,0.8129,269
128,1.1933,233
129,1.139,210
130,0.9262,193
131,0.7842,175
132,0.7606,253
133,0.6446,236
134,0.934,317
135,1.5618,285
136,0.9645,268
137,0.9284,302
138,0.9947,221
139,1.604,329
140,0.9726,230
141,1.2635,358
142,1.0663,256
143,0.6381,170
144,1.4668,269
145,0.8157,234
146,3.0285,298
147,1.0907,201
148,0.8596,273
149,0.8929,268
150,0.9298,203
151,1.4869,270
152,0.9352,264
153,1.1906,257
154,0.7555,212
155,0.6488,198
156,0.6478,222
157,1.1023,290
158,0.9985,188
159,1.1713,239
160,0.5769,222
161,1.119,251
162,1.058,263
163,0.9976,297
164,0.4845,155
165,1.2382,285
166,1.2416,295
167,0.7489,199
168,0.6776,254
169,0.636,208
170,1.3218,216
171,1.0847,191
172,0.8103,228
173,0.9998,209
174,0.8351,243
175,0.9186,193
176,0.8463,255
177,0.8267,285
178,0.7619,224
179,0.3425,175
180,0.6707,212
181,1.5256,313
182,0.9468,310
183,1.314,296
184,1.9191,362
185,0.7792,303
186,1.8477,410
187,1.3218,320
188,0.6887,195
189,1.2265,288
190,0.8732,238
191,1.1301,234
192,0.7938,233
193,1.3138,371
194,0.9892,193
195,0.7466,251
196,0.9982,261
197,1.0324,234
198,1.0275,309
199,0.6624,194
200,1.4562,229
201,1.3408,356
202,1.2939,308
203,0.9941,220
204,0.9019,281
205,0.9775,272
206,1.0972,217
207,0.823,265
208,1.5351,287
209,0.6989,233
210,0.718,235
211,1.4605,344
212,0.6333,201
213,1.1068,331
214,1.5804,317
215,1.4271,271
216,1.6701,333
217,1.638,325
218,1.3299,267
219,0.8455,293
220,0.7423,274
221,1.8,232
222,0.5005,201
223,1.0418,344
224,1.4651,319
225,0.6795,287
226,1.3585,188
227,1.7621,294
228,0.3938,160
229,3.4672,361
230,0.9998,246
231,1.0172,254
232,2.0772,309
233,0.5776,262
234,1.0541,213
235,0.3096,181
236,0.6663,209
237,0.5944,301
238,0.3802,163
239,2.4545,281
240,0.4393,257
241,1.6642,336
242,1.4619,295
243,1.3627,268
244,0.4294,249
245,0.7095,267
246,0.4735,239
247,0.5298,195
248,1.1659,281
249,1.3417,339
250,0.9547,246
251,0.5101,205
252,1.3029,290
253,0.9243,212
254,1.2763,279
255,1.2537,297
256,1.1135,239
257,0.4596,196
258,1.2952,360
259,0.3357,191
260,1.4454,263
261,1.215,314
262,1.995,245
263,1.6228,310
264,1.0846,276
265,1.2406,168
266,2.3715,345
267,2.0271,277
268,1.1193,244
269,1.2954,295
270,1.8638,278
271,0.8601,204
272,0.569,227
273,0.7617,154
274,1.0464,232
275,1.1842,244
276,0.7931,205
277,1.1661,237
278,0.4402,262
279,2.7572,314
280,1.5939,241
281,0.8737,245
282,1.0739,239
283,0.966,197
284,0.4946,236
285,1.5173,218
286,2.6077,260
287,0.7116,167
288,0.9562,162
289,1.7841,252
290,1.0023,207
291,1.3998,290
292,3.6712,313
293,1.1197,257
294,1.0983,265
295,1.2368,229
296,0.6442,207
297,1.1143,223
298,3.0918,216
299,1.2288,245
300,1.6221,267
301,1.1198,246
302,1.4925,282
303,1.4199,166
304,1.0336,255
305,0.729,330
306,1.3349,189
307,0.6108,202
308,2.3831,186
309,2.7201,384
310,1.1589,259
311,0.666,193
312,1.1927,223
313,1.2672,241
314,1.2163,267
315,2.0907,309
316,1.3376,296
317,1.9198,347
318,1.5027,326
319,1.4628,295
320,0.9537,215
321,1.4518,307
322,1.6119,255
323,1.7206,294
324,2.2642,249
325,0.6455,226
326,1.7131,318
327,1.4617,262
328,0.9477,225
329,2.3505,340
330,1.7445,367
331,1.8132,330
332,1.3264,277
333,1.0855,220
334,1.1834,216
335,0.6977,239
336,0.7848,188
337,1.5613,256
338,0.9712,266
339,1.8208,382
340,1.6419,322
341,4.4896,278
342,1.4641,306
343,0.5076,323
344,0.8067,253
345,0.5323,285
346,0.5309,331
347,1.1711,252
348,1.3625,346
349,0.8832,210
350,1.1638,263
351,1.5319,341
352,1.083,228
353,0.4136,249
354,1.0952,217
355,1.0635,242
356,2.947,380
357,1.5324,217
358,1.0527,268
359,0.9179,232
360,0.6509,157
361,1.264,211
362,1.03,251
363,2.4547,280
364,2.5609,292
365,1.1719,263
366,1.382,203
367,1.6197,272
368,1.2577,243
369,0.7253,250
370,2.2399,318
371,0.7727,276
372,0.4222,228
373,1.4401,248
374,1.67,315
375,2.1928,301
376,2.154,299
377,1.2097,253
378,0.7935,252
379,1.9798,226
380,2.0816,242
381,1.6573,212
382,1.0817,205
383,1.9644,268
384,2.7431,254
385,0.8632,275
386,1.1986,235
387,2.5211,301
388,2.5093,321
389,1.315,235
390,1.0512,237
391,0.5885,233
392,2.5665,343
393,1.2841,282
394,1.253,179
395,1.8523,341
396,1.0405,236
397,1.2495,252
398,1.2359,276
399,1.079,267
400,1.2001,241
401,1.4755,218
402,1.3701,279
403,1.1736,301
404,1.5715,309
405,1.2038,264
406,1.211,231
407,0.9599,212
408,0.913,218
409,1.4267,317
410,0.4779,201
411,1.8485,256
412,0.7883,262
413,0.8789,299
414,0.9969,241
415,2.4775,342
416,0.3152,178
417,1.2269,270
418,2.1592,324
419,0.4392,257
420,1.2432,263
421,1.1079,255
422,1.563,231
423,1.6106,318
424,1.5503,333
425,1.9178,264
426,1.1661,262
427,0.94,219
428,1.7246,181
429,1.3137,327
430,1.2005,248
431,1.2928,299
432,1.1952,280
433,1.4558,294
434,1.1909,226
435,0.9407,233
436,2.2554,202
437,0.8821,295
438,1.4964,278
439,2.224,272
440,1.5422,291
441,2.2652,308
442,0.6029,260
443,0.8669,192
444,1.1218,228
445,1.2592,263
446,1.5121,307
447,1.4391,252
448,1.2621,325
449,1.002,160
450,1.7785,294
451,1.7053,283
452,2.5752,343
453,1.1313,304
454,0.7482,181
455,1.4533,226
456,0.5666,294
457,0.9267,269
458,1.0085,297
459,1.2551,253
460,0.6346,220
461,2.0725,255
462,0.6345,342
463,1.0805,308
464,1.3245,293
465,0.5733,222
466,0.3871,225
467,1.1003,204
468,0.4188,242
469,1.2367,271
470,1.2284,290
471,2.0607,315
472,0.783,253
473,1.256,177
474,0.6304,277
475,1.541,330
476,0.7543,284
477,1.4623,340
478,0.3733,221
479,1.5114,316
480,2.0351,249
481,0.7527,202
482,0.9564,247
483,0.9742,229
484,1.2464,309
485,2.8343,299
486,1.2115,324
487,1.1119,263
488,1.4682,257
489,0.8233,189
490,1.4266,298
491,1.3792,280
492,1.1717,344
493,0.6014,256
494,1.0703,208
495,0.366,198
496,0.5336,179
497,1.3105,305
498,0.7127,262
499,2.0928,200
500,1.4083,296
501,1.2495,268
502,0.8361,238
503,2.5033,292
504,2.1065,212
505,0.9076,196
506,2.1072,269
507,1.2961,271
508,0.9454,191
509,1.2103,268
510,1.0023,269
511,1.0286,201
512,1.3567,306
513,2.2375,252
514,1.635,287
515,0.9826,217
516,0.9532,251
517,3.0341,318
518,1.3314,229
519,1.1137,273
520,0.8499,343
521,1.9862,283
522,0.7193,290
523,1.0159,224
524,1.1557,196
525,0.9883,280
526,1.9308,214
527,0.9583,328
528,1.1191,238
529,1.9229,225
530,2.1904,264
531,1.0494,264
532,1.0945,295
533,1.7936,268
534,1.2519,223
535,1.3641,219
536,1.0439,241
537,0.7315,227
538,0.8999,180
539,1.451,213
540,2.8056,338
541,2.2846,293
542,1.2319,267
543,0.8521,199
544,2.4883,357
545,1.6702,352
546,1.095,266
547,1.5078,278
548,1.7836,277
549,2.737,284
550,0.5298,273
551,0.5958,299
552,3.1771,258
553,1.4564,339
554,0.6129,253
555,0.7069,300
556,0.803,263
557,1.0813,269
558,2.8362,236
559,1.6682,384
560,0.8548,206
561,1.1233,247
562,0.7031,230
563,1.3233,264
564,1.1241,199
565,0.9156,289
566,1.077,280
567,0.9369,206
568,1.0318,259
569,1.2097,256
570,0.9191,224
571,0.8593,196
572,0.7995,297
573,1.0257,201
574,1.9961,310
575,0.5626,192
576,1.4606,300
577,2.051,392
578,1.3603,267
579,0.8474,159
580,0.9414,317
581,0.9568,240
582,1.2658,268
583,0.6589,171
584,1.3957,290
585,1.7709,230
586,1.0035,295
587,1.644,273
588,0.6696,212
589,1.3233,281
590,2.2868,357
591,1.2613,308
592,0.9766,234
593,1.0539,196
594,0.611,264
595,1.3826,314
596,0.8434,283
597,0.9864,229
598,1.4036,246
599,0.6232,242
600,0.4495,161
601,1.3156,290
602,1.3584,291
603,0.5666,196
604,0.7457,225
605,1.0623,240
606,1.1492,233
607,1.0019,288
608,1.1482,188
609,0.8733,207
610,1.0502,309
611,0.9241,198
612,0.8615,269
613,1.2043,291
614,0.9574,274
615,0.8213,236
616,1.1382,349
617,0.9414,299
618,1.4413,257
619,1.5277,313
620,2.7402,295
621,2.1727,356
622,0.8618,194
623,1.1485,279
624,1.3881,310
625,1.4418,239
626,0.9801,234
627,0.7431,194
628,1.7292,324
629,0.3991,230
630,1.1559,319
631,0.8087,326
632,1.0481,314
633,0.6406,322
634,1.2332,262
635,0.9559,297
636,1.1991,297
637,1.4367,273
638,0.7837,242
639,0.8722,262
640,1.0857,241
641,0.7705,184
642,0.7881,159
643,0.817,288
644,1.174,339
645,1.0198,214
646,0.8925,283
647,0.6645,195
648,0.7779,210
649,0.9039,299
650,0.8834,271
651,1.1767,204
652,1.2852,241
653,1.2189,310
654,1.3057,378
655,0.7812,234
656,1.0705,246
657,0.8501,233
658,1.0661,220
659,0.9987,212
660,0.7894,281
661,1.1256,275
662,1.0622,236
663,0.6607,184
664,1.189,249
665,0.7529,221
666,1.0247,243
667,1.4799,270
668,0.8575,280
669,2.5194,343
670,1.7319,260
671,1.0517,224
672,0.9686,311
673,0.5012,214
674,0.7595,278
675,1.7705,346
676,0.9247,202
677,1.0986,289
678,0.8243,247
679,0.9236,160
680,1.3374,275
681,1.0265,221
682,0.9578,170
683,0.7074,226
684,1.0175,230
685,1.1221,321
686,2.7245,377
687,1.0667,264
688,0.4964,213
689,0.9928,216
690,0.5795,190
691,1.1902,179
692,0.6884,205
693,1.3023,276
694,0.8995,288
695,1.0704,286
696,1.34,275
697,1.2383,355
698,0.8711,229
699,1.3948,241
700,0.8116,234
701,1.5631,311
702,1.3999,214
703,1.3121,268
704,0.9669,288
705,0.8406,204
706,0.9309,265
707,0.9504,291
708,0.9995,308
709,1.2437,380
710,2.481,425
711,0.67,225
712,0.7402,218
713,0.872,265
714,1.4246,280
715,1.5123,304
716,1.1486,272
717,1.25,262
718,1.0845,234
719,0.7594,243
720,1.0919,318
721,0.9917,295
722,0.7255,222
723,0.4977,184
724,1.1539,269
725,1.0358,291
726,1.3722,371
727,1.9698,317
728,1.2048,253
729,0.8561,277
730,0.6415,198
731,0.9403,258
732,0.9986,244
733,0.9958,293
734,0.7465,242
735,0.5927,155
736,1.0614,255
737,1.1509,240
