Cube Number,Solve Time (ms),Number of Moves
0,0.4012,170
1,0.4826,186
2,0.4038,190
3,0.514,230
4,0.3832,188
5,0.381,184
6,0.3991,194
7,0.4382,182
8,0.4227,172
9,0.4807,242
10,0.3669,218
11,0.5658,212
12,0.4387,178
13,0.3515,148
14,0.4266,184
15,0.3709,144
16,0.3858,148
17,0.5519,222
18,0.4733,194
19,0.5038,214
20,0.5108,172
21,0.453,198
22,0.5483,222
23,0.4319,198
24,0.3922,236
25,0.442,192
26,0.4584,200
27,0.4318,178
28,0.356,164
29,0.5734,224
30,0.2695,158
31,0.3832,198
32,0.3574,218
33,0.4786,200
34,0.3857,160
35,0.3545,156
36,0.4596,192
37,0.4975,226
38,0.4097,168
39,0.397,184
40,0.5686,222
41,0.3251,198
42,0.3775,172
43,0.4861,234
44,0.3367,150
45,0.4657,196
46,0.3859,216
47,0.4323,180
48,0.3767,220
49,0.5087,206
50,0.397,194
51,0.3495,142
52,0.3453,168
53,0.3759,232
54,0.424,190
55,0.3369,198
56,0.4251,182
57,0.4272,194
58,0.3851,176
59,0.4402,172
60,0.4618,166
61,0.4302,182
62,0.4749,194
63,0.4175,172
64,0.3733,204
65,0.4093,172
66,0.4156,200
67,0.4283,164
68,0.486,190
69,0.4161,194
70,0.4361,212
71,0.3685,198
72,0.4752,214
73,0.4559,214
74,0.369,236
75,0.392,156
76,0.4364,176
77,0.4453,190
78,0.4598,190
79,0.4196,192
80,0.3522,214
81,0.4841,184
82,0.5387,196
83,0.5021,242
84,0.4003,168
85,0.4189,186
86,0.4625,220
87,0.3669,192
88,0.4334,188
89,0.4252,188
90,0.4604,226
91,0.5141,206
92,0.4818,182
93,0.3591,162
94,0.4146,156
95,0.468,200
96,0.3969,154
97,0.4024,176
98,0.3959,186
99,0.4154,186
100,0.4196,190
101,0.4778,228
102,0.5334,214
103,0.4411,198
104,0.3209,190
105,0.4218,196
106,0.4612,218
107,0.3749,144
108,0.3966,166
109,0.4595,182
110,0.4777,164
111,0.4336,178
112,0.3531,208
113,0.4933,176
114,0.4521,220
115,0.4946,224
116,0.3938,178
117,0.4393,176
118,0.5085,168
119,0.4434,170
120,0.3552,148
121,0.4391,180
122,0.4154,154
123,0.3516,180
124,0.3872,184
125,0.5015,246
126,0.3701,166
127,0.4363,162
128,0.4532,184
129,0.3841,180
130,0.4431,176
131,0.3671,172
132,0.4424,194
133,0.4028,200
134,0.4107,172
135,0.4332,198
136,0.4377,178
137,0.5431,244
138,0.3531,158
139,0.3604,150
140,0.4373,182
141,0.4508,168
142,0.2688,154
143,0.3034,180
144,0.3992,166
145,0.396,190
146,0.5033,228
147,0.34,146
148,0.4281,170
149,0.4761,198
150,0.3527,220
151,0.4323,194
152,0.3575,152
153,0.4415,176
154,0.3313,138
155,0.3973,172
156,0.4377,188
