Cube Number,Solve Time (ms),Number of Moves
0,0.5597,211
1,0.8676,223
2,0.5909,190
3,0.5302,170
4,0.6331,174
5,0.8171,268
6,0.5058,158
7,0.5798,133
8,0.7107,207
9,0.5679,185
10,0.5819,227
11,0.5589,140
12,0.6657,202
13,0.5684,192
14,0.6012,229
15,0.6528,215
16,0.6681,214
17,0.5247,180
18,0.5801,222
19,0.6871,211
20,0.5782,159
21,0.7116,219
22,0.7533,216
23,0.6806,202
24,0.5923,207
25,0.5914,162
26,0.741,204
27,0.7903,213
28,0.6086,203
29,0.5726,201
30,0.6777,240
31,0.6666,211
32,0.5951,209
33,0.6702,191
34,0.6277,207
35,0.6619,216
36,0.7144,196
37,0.6644,189
38,0.6424,210
39,0.6758,206
40,0.5212,162
41,0.5436,134
42,0.5597,219
43,0.554,153
44,0.5914,179
45,0.6606,220
46,0.6264,207
47,0.7068,215
48,0.6369,210
49,0.5613,178
50,0.628,203
51,0.691,227
52,0.6317,171
53,0.6905,201
54,0.5625,173
55,0.833,224
56,0.7189,224
57,0.827,285
58,0.6723,194
59,0.6946,196
60,0.7112,196
61,0.6705,223
62,0.7052,205
63,0.7473,235
64,0.7378,194
65,0.6942,227
66,0.6413,282
67,0.6439,202
68,0.5723,179
69,0.6783,188
70,0.615,206
71,0.6167,177
72,0.5691,204
73,0.7787,179
74,0.5706,195
75,0.7083,252
76,0.7092,204
77,0.6209,173
78,0.6246,171
79,0.6116,179
80,0.5575,151
81,0.6094,162
82,0.6773,139
83,0.6396,185
84,0.7451,239
85,0.7741,245
86,0.5885,205
87,0.6618,204
88,0.6672,202
89,0.5314,188
90,0.6603,232
91,0.5343,181
92,0.6945,218
93,0.6623,189
94,0.7843,249
95,0.6416,223
96,0.6659,217
97,0.5917,160
98,0.6916,221
99,0.583,200
100,0.6088,173
101,0.5231,164
102,0.6078,186
103,0.5985,224
104,0.7149,245
105,0.5354,158
106,0.6262,162
107,0.6509,191
108,0.7335,238
109,0.5638,171
110,0.6765,202
111,0.662,230
112,0.6469,189
113,0.6002,191
114,0.7648,202
115,0.7881,194
116,0.6076,208
117,0.5858,149
118,0.5345,168
119,0.6634,221
120,0.6034,211
121,0.714,187
122,0.5185,223
123,0.5976,157
124,0.8108,257
125,0.7356,236
126,0.6673,200
127,0.6197,182
128,0.8151,300
129,0.6895,218
130,0.5219,139
131,0.5906,214
132,0.6613,220
133,0.6565,174
134,0.7158,165
135,0.5261,177
136,0.6152,196
137,0.6895,219
138,0.7614,231
139,0.6433,194
140,0.6183,193
141,0.673,227
142,0.633,184
143,0.637,204
144,0.6975,214
145,0.4922,188
146,0.5732,173
147,0.6972,222
148,0.4921,209
149,0.6422,197
150,0.6352,225
151,0.6859,220
152,0.6663,199
153,0.621,179
154,0.6323,187
155,0.6664,194
156,0.5232,167
157,0.5329,182
158,0.6334,163
159,0.5598,255
160,0.6714,189
161,0.4521,213
162,0.6998,227
163,0.6239,177
164,0.6234,168
165,0.6581,187
166,0.7247,233
167,0.6295,168
168,0.708,223
169,0.6584,225
170,0.6141,141
171,0.6156,281
172,0.5848,159
