Cube Number,Solve Time (ms),Number of Moves
0,0.4213,197
1,0.4543,208
2,0.5289,222
3,0.4878,199
4,0.4443,161
5,0.4255,160
6,0.4497,194
7,0.3084,191
8,0.4086,211
9,0.4785,189
10,0.4457,203
11,0.482,185
12,0.4391,181
13,0.3463,139
14,0.5031,213
15,0.478,221
16,0.3176,192
17,0.4417,174
18,0.5076,194
19,0.4951,220
20,0.3998,165
21,0.4698,221
22,0.5365,218
23,0.4222,177
24,0.46,202
25,0.4713,194
26,0.5786,236
27,0.4448,239
28,0.4358,170
29,0.4089,257
30,0.5336,236
31,0.3656,222
32,0.5051,183
33,0.2875,170
34,0.4907,224
35,0.4394,182
36,0.4856,205
37,0.4393,185
38,0.4695,164
39,0.4397,208
40,0.5752,265
41,0.5078,215
42,0.4846,226
43,0.5134,188
44,0.5205,223
45,0.4819,209
46,0.4479,157
47,0.4704,211
48,0.5449,255
49,0.4422,195
50,0.4097,240
51,0.5471,232
52,0.4859,191
53,0.5819,247
54,0.4778,193
55,0.471,188
56,0.406,169
57,0.5261,216
58,0.4299,170
59,0.4757,214
60,0.4532,191
61,0.432,189
62,0.5561,190
63,0.4589,192
64,0.4214,175
65,0.4638,186
66,0.4797,211
67,0.4821,225
68,0.4446,217
69,0.4253,231
70,0.5104,207
71,0.3428,173
72,0.5487,246
73,0.4939,246
74,0.4093,231
75,0.4384,190
76,0.4363,186
77,0.5901,248
78,0.4885,216
79,0.3673,192
80,0.4473,175
81,0.428,169
82,0.5624,247
83,0.4631,192
84,0.5237,217
85,0.4877,217
86,0.4706,195
87,0.5393,234
88,0.4017,159
89,0.5489,215
90,0.5634,240
91,0.4423,203
92,0.3775,166
93,0.4641,185
94,0.4822,208
95,0.5118,218
96,0.4272,191
97,0.5131,228
98,0.4372,162
99,0.4873,206
100,0.4976,182
101,0.3811,143
102,0.5158,219
103,0.5022,197
104,0.3401,148
105,0.4527,200
106,0.3772,149
107,0.4825,233
108,0.4065,156
109,0.4228,169
110,0.4591,180
111,0.5039,204
112,0.5953,270
113,0.3737,179
114,0.4304,163
115,0.4394,182
116,0.5061,212
